gene_name,control_females_max_transcript_counts,control_males_max_transcript_counts,exposed_females_max_transcript_counts,exposed_males_max_transcript_counts,max_transcript_counts,females_controls_predom_isoform,females_exposed_predom_isoform,males_controls_predom_isoform,males_exposed_predom_isoform
LOC111123769,2,2,2,2,2,rna-XM_022466330.1,rna-XM_022466330.1,rna-XM_022466330.1,rna-XR_002638103.1
LOC111123770,1,1,1,1,1,rna-XM_022466331.1,rna-XM_022466331.1,rna-XM_022466331.1,rna-XM_022466331.1
LOC111123771,1,1,1,2,2,rna-XM_022466333.1,rna-XM_022466333.1,rna-XM_022466333.1,rna-XM_022466333.1
LOC111123772,1,1,1,1,1,rna-XM_022466335.1,rna-XM_022466335.1,rna-XM_022466335.1,rna-XM_022466335.1
LOC111123773,1,1,1,1,1,rna-XM_022466336.1,rna-XM_022466336.1,rna-XM_022466336.1,rna-XM_022466336.1
LOC111123774,1,1,1,1,1,rna-XM_022466337.1,rna-XM_022466337.1,rna-XM_022466337.1,rna-XM_022466337.1
LOC111123775,1,1,1,1,1,rna-XM_022466338.1,rna-XM_022466338.1,rna-XM_022466338.1,rna-XM_022466338.1
LOC111123776,1,1,1,1,1,rna-XR_002638104.1,rna-XR_002638104.1,rna-XR_002638104.1,rna-XR_002638104.1
LOC111123777,1,1,1,1,1,rna-XM_022466343.1,rna-XM_022466343.1,rna-XM_022466343.1,rna-XM_022466343.1
LOC111123778,1,1,1,1,1,rna-XM_022466339.1,rna-XM_022466339.1,rna-XM_022466339.1,rna-XM_022466339.1
LOC111123779,2,2,1,2,2,rna-XM_022466341.1,rna-XM_022466340.1,rna-XM_022466340.1,rna-XM_022466340.1
LOC111123780,1,1,0,1,1,rna-XM_022466342.1,rna-XM_022466342.1,rna-XM_022466342.1,rna-XM_022466342.1
LOC111123781,1,1,1,1,1,rna-XM_022466344.1,rna-XM_022466344.1,rna-XM_022466344.1,rna-XM_022466344.1
LOC111123782,1,1,1,1,1,rna-XM_022466345.1,rna-XM_022466345.1,rna-XM_022466345.1,rna-XM_022466345.1
LOC111123783,1,1,1,1,1,rna-XR_002638105.1,rna-XR_002638105.1,rna-XR_002638105.1,rna-XR_002638105.1
LOC111123784,1,1,1,1,1,rna-XM_022466346.1,rna-XM_022466346.1,rna-XM_022466346.1,rna-XM_022466346.1
LOC111123785,2,1,2,2,2,rna-XM_022466347.1,rna-XM_022466348.1,rna-XM_022466348.1,rna-XM_022466348.1
LOC111123786,1,1,1,1,1,rna-XM_022466349.1,rna-XM_022466349.1,rna-XM_022466349.1,rna-XM_022466349.1
LOC111123787,1,1,1,1,1,rna-XM_022466352.1,rna-XM_022466352.1,rna-XM_022466352.1,rna-XM_022466352.1
LOC111123788,1,1,1,1,1,rna-XR_002638107.1,rna-XR_002638107.1,rna-XR_002638107.1,rna-XR_002638107.1
LOC111123789,1,1,1,1,1,rna-XR_002638108.1,rna-XR_002638108.1,rna-XR_002638108.1,rna-XR_002638108.1
LOC111123790,7,7,5,6,7,rna-XM_022466359.1,rna-XM_022466355.1,rna-XM_022466350.1,rna-XM_022466350.1
LOC111123791,1,1,1,1,1,rna-XM_022466361.1,rna-XM_022466361.1,rna-XM_022466361.1,rna-XM_022466361.1
LOC111123792,1,1,1,1,1,rna-XM_022466363.1,rna-XM_022466363.1,rna-XM_022466363.1,rna-XM_022466364.1
LOC111123793,1,1,1,1,1,rna-XR_002638109.1,rna-XR_002638109.1,rna-XR_002638109.1,rna-XR_002638109.1
LOC111123794,2,2,2,2,2,rna-XM_022466365.1,rna-XM_022466365.1,rna-XM_022466365.1,rna-XM_022466365.1
LOC111123795,1,1,1,1,1,rna-XM_022466367.1,rna-XM_022466367.1,rna-XM_022466367.1,rna-XM_022466367.1
LOC111123796,1,1,1,1,1,rna-XM_022466368.1,rna-XM_022466368.1,rna-XM_022466368.1,rna-XM_022466368.1
LOC111123797,2,2,2,2,2,rna-XM_022466369.1,rna-XM_022466369.1,rna-XM_022466369.1,rna-XM_022466369.1
LOC111123798,2,1,1,1,2,rna-XM_022466394.1,rna-XM_022466384.1,rna-XM_022466384.1,rna-XM_022466384.1
LOC111123799,1,1,1,1,1,rna-XM_022466371.1,rna-XM_022466371.1,rna-XM_022466371.1,rna-XM_022466371.1
LOC111123800,1,1,1,1,1,rna-XM_022466372.1,rna-XM_022466372.1,rna-XM_022466372.1,rna-XM_022466372.1
LOC111123801,3,3,3,3,3,rna-XM_022466375.1,rna-XM_022466375.1,rna-XM_022466375.1,rna-XM_022466375.1
LOC111123802,14,6,12,11,14,rna-XM_022466390.1,rna-XM_022466390.1,rna-XM_022466391.1,rna-XM_022466390.1
LOC111123803,1,1,1,1,1,rna-XM_022466392.1,rna-XM_022466392.1,rna-XM_022466392.1,rna-XM_022466392.1
LOC111123804,2,2,2,2,2,rna-XM_022466395.1,rna-XM_022466395.1,rna-XM_022466395.1,rna-XM_022466393.1
LOC111123805,1,1,1,1,1,rna-XM_022466396.1,rna-XM_022466396.1,rna-XM_022466396.1,rna-XM_022466396.1
LOC111123806,7,5,7,7,7,rna-XM_022466402.1,rna-XM_022466402.1,rna-XM_022466403.1,rna-XM_022466403.1
LOC111123807,2,1,2,2,2,rna-XM_022466407.1,rna-XM_022466407.1,rna-XM_022466407.1,rna-XM_022466407.1
LOC111123808,1,1,1,1,1,gene-LOC111123808,gene-LOC111123808,gene-LOC111123808,gene-LOC111123808
LOC111123809,1,1,1,1,1,rna-XM_022466404.1,rna-XM_022466404.1,rna-XM_022466404.1,rna-XM_022466404.1
LOC111123810,2,2,2,2,2,rna-XM_022466405.1,rna-XM_022466406.1,rna-XM_022466406.1,rna-XM_022466405.1
LOC111123811,1,1,1,1,1,rna-XM_022466408.1,rna-XM_022466408.1,rna-XM_022466408.1,rna-XM_022466408.1
LOC111123812,1,1,1,1,1,rna-XM_022466409.1,rna-XM_022466409.1,rna-XM_022466409.1,rna-XM_022466409.1
LOC111123813,7,7,7,7,7,rna-XM_022466410.1,rna-XM_022466415.1,rna-XM_022466412.1,rna-XM_022466412.1
LOC111123814,3,2,3,3,3,rna-XM_022466421.1,rna-XM_022466421.1,rna-XM_022466421.1,rna-XM_022466421.1
LOC111123815,1,1,1,1,1,rna-XM_022466422.1,rna-XM_022466422.1,rna-XM_022466422.1,rna-XM_022466422.1
LOC111123816,1,1,1,1,1,rna-XM_022466423.1,rna-XM_022466423.1,rna-XM_022466423.1,rna-XM_022466423.1
LOC111123817,3,2,3,3,3,rna-XM_022466424.1,rna-XM_022466424.1,rna-XM_022466424.1,rna-XM_022466424.1
LOC111123818,1,1,1,1,1,rna-XM_022466430.1,rna-XM_022466430.1,rna-XM_022466430.1,rna-XM_022466430.1
LOC111123819,1,1,1,1,1,rna-XM_022466427.1,rna-XM_022466427.1,rna-XM_022466427.1,rna-XM_022466427.1
LOC111123820,4,3,4,3,4,rna-XM_022466428.1,rna-XR_002638110.1,rna-XR_002638110.1,rna-XR_002638110.1
LOC111123821,4,3,4,3,4,rna-XM_022466434.1,rna-XM_022466433.1,rna-XM_022466433.1,rna-XM_022466433.1
LOC111123822,2,2,2,2,2,rna-XM_022466436.1,rna-XM_022466436.1,rna-XM_022466436.1,rna-XM_022466436.1
LOC111123823,1,1,1,1,1,rna-XM_022466439.1,rna-XM_022466439.1,rna-XM_022466439.1,rna-XM_022466439.1
LOC111123824,1,1,1,1,1,gene-LOC111123824,gene-LOC111123824,gene-LOC111123824,gene-LOC111123824
LOC111123825,10,10,10,9,10,rna-XM_022466443.1,rna-XM_022466443.1,rna-XM_022466444.1,rna-XM_022466444.1
LOC111123826,2,2,2,2,2,rna-XM_022466450.1,rna-XM_022466450.1,rna-XM_022466451.1,rna-XM_022466450.1
LOC111123827,1,1,1,1,1,rna-XM_022466452.1,rna-XM_022466452.1,rna-XM_022466452.1,rna-XM_022466452.1
LOC111123828,1,1,1,1,1,rna-XM_022466456.1,rna-XM_022466456.1,rna-XM_022466456.1,rna-XM_022466456.1
LOC111123829,1,1,1,1,1,rna-XM_022466453.1,rna-XM_022466453.1,rna-XM_022466453.1,rna-XM_022466453.1
LOC111123830,1,1,1,1,1,rna-XM_022466454.1,rna-XM_022466454.1,rna-XM_022466454.1,rna-XM_022466454.1
LOC111123831,1,1,1,1,1,rna-XM_022466455.1,rna-XM_022466455.1,rna-XM_022466455.1,rna-XM_022466455.1
LOC111123832,1,1,1,2,2,rna-XM_022466457.1,rna-XM_022466457.1,rna-XM_022466457.1,rna-XM_022466457.1
LOC111123833,1,1,1,1,1,rna-XM_022466459.1,rna-XM_022466459.1,rna-XM_022466459.1,rna-XM_022466459.1
LOC111123834,1,1,1,1,1,rna-XM_022466460.1,rna-XM_022466460.1,rna-XM_022466460.1,rna-XM_022466460.1
LOC111123835,2,2,2,2,2,rna-XM_022466461.1,rna-XM_022466461.1,rna-XM_022466461.1,rna-XM_022466461.1
LOC111123836,1,1,1,1,1,rna-XM_022466463.1,rna-XM_022466463.1,rna-XM_022466463.1,rna-XM_022466463.1
LOC111123837,1,1,1,1,1,rna-XM_022466464.1,rna-XM_022466464.1,rna-XM_022466464.1,rna-XM_022466464.1
LOC111123838,1,1,1,1,1,rna-XM_022466468.1,rna-XM_022466468.1,rna-XM_022466468.1,rna-XM_022466468.1
LOC111123839,1,1,1,1,1,rna-XM_022466465.1,rna-XM_022466465.1,rna-XM_022466465.1,rna-XM_022466465.1
LOC111123840,1,1,1,1,1,rna-XM_022466466.1,rna-XM_022466466.1,rna-XM_022466466.1,rna-XM_022466466.1
LOC111123841,1,1,1,1,1,rna-XM_022466467.1,rna-XM_022466467.1,rna-XM_022466467.1,rna-XM_022466467.1
LOC111123842,1,1,1,1,1,rna-XM_022466469.1,rna-XM_022466469.1,rna-XM_022466469.1,rna-XM_022466469.1
LOC111123843,1,1,1,1,1,rna-XM_022466470.1,rna-XM_022466470.1,rna-XM_022466470.1,rna-XM_022466470.1
LOC111123844,1,1,1,1,1,rna-XM_022466471.1,rna-XM_022466471.1,rna-XM_022466471.1,rna-XM_022466471.1
LOC111123845,2,1,2,1,2,rna-XM_022466472.1,rna-XM_022466472.1,rna-XM_022466472.1,rna-XM_022466472.1
LOC111123846,1,1,1,1,1,rna-XM_022466474.1,rna-XM_022466474.1,rna-XM_022466474.1,rna-XM_022466474.1
LOC111123847,1,1,1,1,1,rna-XM_022466475.1,rna-XM_022466475.1,rna-XM_022466475.1,rna-XM_022466475.1
LOC111123848,1,1,1,1,1,rna-XM_022466480.1,rna-XM_022466480.1,rna-XM_022466480.1,rna-XM_022466480.1
LOC111123849,9,9,8,9,9,rna-XM_022466484.1,rna-XM_022466485.1,rna-XM_022466485.1,rna-XM_022466485.1
LOC111123850,2,2,2,2,2,rna-XM_022466487.1,rna-XM_022466487.1,rna-XM_022466486.1,rna-XM_022466486.1
LOC111123851,1,1,1,1,1,rna-XM_022466488.1,rna-XM_022466488.1,rna-XM_022466488.1,rna-XM_022466488.1
LOC111123852,1,1,1,1,1,rna-XM_022466489.1,rna-XM_022466489.1,rna-XM_022466489.1,rna-XM_022466489.1
LOC111123853,1,1,1,1,1,rna-XM_022466492.1,rna-XM_022466492.1,rna-XM_022466492.1,rna-XM_022466492.1
LOC111123854,1,1,1,1,1,gene-LOC111123854,gene-LOC111123854,gene-LOC111123854,gene-LOC111123854
LOC111123855,1,1,1,1,1,rna-XM_022466490.1,rna-XM_022466490.1,rna-XM_022466490.1,rna-XM_022466490.1
LOC111123856,2,2,2,1,2,rna-XM_022466493.1,rna-XM_022466493.1,rna-XM_022466491.1,rna-XM_022466491.1
LOC111123857,1,1,1,1,1,rna-XM_022466494.1,rna-XM_022466494.1,rna-XM_022466494.1,rna-XM_022466494.1
LOC111123858,2,1,2,2,2,rna-XM_022466496.1,rna-XM_022466496.1,rna-XM_022466495.1,rna-XM_022466495.1
LOC111123859,1,1,1,1,1,rna-XM_022466498.1,rna-XM_022466498.1,rna-XM_022466498.1,rna-XM_022466498.1
LOC111123860,1,1,1,1,1,gene-LOC111123860,gene-LOC111123860,gene-LOC111123860,gene-LOC111123860
LOC111123861,2,2,2,2,2,rna-XM_022466500.1,rna-XM_022466500.1,rna-XM_022466500.1,rna-XM_022466500.1
LOC111123862,1,1,1,1,1,rna-XM_022466504.1,rna-XM_022466504.1,rna-XM_022466504.1,rna-XM_022466504.1
LOC111123863,1,1,1,1,1,rna-XM_022466501.1,rna-XM_022466501.1,rna-XM_022466501.1,rna-XM_022466501.1
LOC111123864,2,2,2,1,2,rna-XM_022466502.1,rna-XM_022466502.1,rna-XM_022466502.1,rna-XM_022466502.1
LOC111123865,1,2,1,2,2,rna-XM_022466506.1,rna-XM_022466506.1,rna-XM_022466505.1,rna-XM_022466505.1
LOC111123866,1,1,1,1,1,rna-XM_022466507.1,rna-XM_022466507.1,rna-XM_022466507.1,rna-XM_022466507.1
LOC111123867,1,1,1,1,1,rna-XM_022466508.1,rna-XM_022466508.1,rna-XM_022466508.1,rna-XM_022466508.1
LOC111123868,1,1,1,1,1,rna-XM_022466513.1,rna-XM_022466513.1,rna-XM_022466513.1,rna-XM_022466513.1
LOC111123869,7,6,7,6,7,rna-XM_022466515.1,rna-XM_022466515.1,rna-XM_022466516.1,rna-XM_022466516.1
LOC111123870,1,1,1,1,1,rna-XM_022466517.1,rna-XM_022466517.1,rna-XM_022466517.1,rna-XM_022466517.1
LOC111123871,1,1,1,1,1,rna-XM_022466518.1,rna-XM_022466518.1,rna-XM_022466518.1,rna-XM_022466518.1
LOC111123872,1,1,1,1,1,gene-LOC111123872,gene-LOC111123872,gene-LOC111123872,gene-LOC111123872
LOC111123873,1,1,1,1,1,rna-XR_002638111.1,rna-XR_002638111.1,rna-XR_002638111.1,rna-XR_002638111.1
LOC111123874,1,1,1,1,1,rna-XM_022466519.1,rna-XM_022466519.1,rna-XM_022466519.1,rna-XM_022466519.1
LOC111123875,1,1,1,1,1,rna-XM_022466523.1,rna-XM_022466523.1,rna-XM_022466523.1,rna-XM_022466523.1
LOC111123876,1,1,1,1,1,rna-XM_022466520.1,rna-XM_022466520.1,rna-XM_022466520.1,rna-XM_022466520.1
LOC111123877,1,1,1,1,1,rna-XM_022466521.1,rna-XM_022466521.1,rna-XM_022466521.1,rna-XM_022466521.1
LOC111123878,1,1,1,1,1,rna-XM_022466522.1,rna-XM_022466522.1,rna-XM_022466522.1,rna-XM_022466522.1
LOC111123879,1,1,1,1,1,rna-XM_022466524.1,rna-XM_022466524.1,rna-XM_022466524.1,rna-XM_022466524.1
LOC111123880,1,1,1,1,1,rna-XM_022466525.1,rna-XM_022466525.1,rna-XM_022466525.1,rna-XM_022466525.1
LOC111123881,3,3,3,3,3,rna-XM_022466528.1,rna-XM_022466528.1,rna-XM_022466527.1,rna-XM_022466527.1
LOC111123882,2,2,2,1,2,rna-XM_022466530.1,rna-XM_022466529.1,rna-XM_022466529.1,rna-XM_022466529.1
LOC111123883,2,1,2,1,2,rna-XM_022466532.1,rna-XM_022466531.1,rna-XM_022466531.1,rna-XM_022466531.1
LOC111123884,1,1,1,1,1,rna-XM_022466536.1,rna-XM_022466536.1,rna-XM_022466536.1,rna-XM_022466536.1
LOC111123885,2,2,2,2,2,rna-XM_022466533.1,rna-XM_022466533.1,rna-XM_022466533.1,rna-XM_022466533.1
LOC111123886,2,1,2,2,2,rna-XM_022466535.1,rna-XM_022466535.1,rna-XM_022466535.1,rna-XM_022466535.1
LOC111123887,1,1,1,1,1,rna-XM_022466538.1,rna-XM_022466538.1,rna-XM_022466538.1,rna-XM_022466538.1
LOC111123888,1,2,3,2,3,rna-XR_002638112.1,rna-XR_002638112.1,rna-XR_002638112.1,rna-XR_002638112.1
LOC111123889,1,1,1,1,1,rna-XM_022466539.1,rna-XM_022466539.1,rna-XM_022466539.1,rna-XM_022466539.1
LOC111123890,27,14,26,16,27,rna-XM_022466561.1,rna-XM_022466552.1,rna-XM_022466546.1,rna-XM_022466546.1
LOC111123891,1,1,1,1,1,rna-XM_022466548.1,rna-XM_022466548.1,rna-XM_022466548.1,rna-XM_022466548.1
LOC111123892,7,6,7,6,7,rna-XR_002638119.1,rna-XR_002638119.1,rna-XM_022466573.1,rna-XM_022466573.1
LOC111123893,1,1,1,1,1,rna-XR_002638115.1,rna-XR_002638115.1,rna-XR_002638115.1,rna-XR_002638115.1
LOC111123894,3,2,3,3,3,rna-XM_022466571.1,rna-XM_022466571.1,rna-XM_022466570.1,rna-XM_022466571.1
LOC111123895,2,2,2,2,2,rna-XM_022466574.1,rna-XM_022466575.1,rna-XM_022466575.1,rna-XM_022466575.1
LOC111123896,1,1,1,1,1,rna-XM_022466576.1,rna-XM_022466576.1,rna-XM_022466576.1,rna-XM_022466576.1
LOC111123897,2,2,2,2,2,rna-XM_022466577.1,rna-XM_022466577.1,rna-XM_022466577.1,rna-XM_022466577.1
LOC111123898,1,1,1,1,1,rna-XM_022466619.1,rna-XM_022466619.1,rna-XM_022466619.1,rna-XM_022466619.1
LOC111123899,1,1,1,1,1,rna-XR_002638117.1,rna-XR_002638117.1,rna-XR_002638117.1,rna-XR_002638117.1
LOC111123900,1,1,1,1,1,rna-XM_022466578.1,rna-XM_022466578.1,rna-XM_022466578.1,rna-XM_022466578.1
LOC111123901,5,4,5,5,5,rna-XM_022466580.1,rna-XM_022466584.1,rna-XM_022466579.1,rna-XM_022466580.1
LOC111123902,1,1,1,1,1,rna-XM_022466585.1,rna-XM_022466585.1,rna-XM_022466585.1,rna-XM_022466585.1
LOC111123903,1,1,1,1,1,rna-XR_002638118.1,rna-XR_002638118.1,rna-XR_002638118.1,rna-XR_002638118.1
LOC111123904,7,4,5,5,7,rna-XM_022466588.1,rna-XM_022466588.1,rna-XM_022466588.1,rna-XM_022466588.1
LOC111123905,3,2,2,3,3,rna-XM_022466602.1,rna-XM_022466602.1,rna-XM_022466602.1,rna-XM_022466602.1
LOC111123906,1,1,1,1,1,rna-XM_022466605.1,rna-XM_022466605.1,rna-XM_022466605.1,rna-XM_022466605.1
LOC111123907,5,4,5,5,5,rna-XM_022466610.1,rna-XM_022466610.1,rna-XM_022466609.1,rna-XM_022466609.1
LOC111123908,1,1,1,1,1,rna-XR_002638120.1,rna-XR_002638120.1,rna-XR_002638120.1,rna-XR_002638120.1
LOC111123909,1,1,1,1,1,rna-XM_022466611.1,rna-XM_022466611.1,rna-XM_022466611.1,rna-XM_022466611.1
LOC111123910,15,13,11,17,17,rna-XM_022466617.1,rna-XM_022466617.1,rna-XR_002638121.1,rna-XR_002638129.1
LOC111123911,1,1,1,1,1,rna-XM_022466620.1,rna-XM_022466620.1,rna-XM_022466620.1,rna-XM_022466620.1
LOC111123912,3,2,3,3,3,rna-XM_022466627.1,rna-XM_022466628.1,rna-XM_022466627.1,rna-XM_022466627.1
LOC111123913,1,1,1,1,1,rna-XM_022466630.1,rna-XM_022466630.1,rna-XM_022466630.1,rna-XM_022466630.1
LOC111123914,1,1,1,1,1,rna-XM_022466634.1,rna-XM_022466634.1,rna-XM_022466634.1,rna-XM_022466634.1
LOC111123915,1,1,1,1,1,rna-XM_022466631.1,rna-XM_022466631.1,rna-XM_022466631.1,rna-XM_022466631.1
LOC111123916,1,1,1,1,1,rna-XM_022466632.1,rna-XM_022466632.1,rna-XM_022466632.1,rna-XM_022466632.1
LOC111123917,2,3,2,3,3,rna-XM_022466633.1,rna-XM_022466633.1,rna-XM_022466633.1,rna-XM_022466633.1
LOC111123918,1,1,1,1,1,rna-XM_022466638.1,rna-XM_022466638.1,rna-XM_022466638.1,rna-XM_022466638.1
LOC111123919,1,1,1,1,1,rna-XM_022466639.1,rna-XM_022466639.1,rna-XM_022466639.1,rna-XM_022466639.1
LOC111123920,1,2,1,2,2,rna-XM_022466640.1,rna-XM_022466641.1,rna-XM_022466640.1,rna-XM_022466640.1
LOC111123921,1,1,1,1,1,rna-XM_022466642.1,rna-XM_022466642.1,rna-XM_022466642.1,rna-XM_022466642.1
LOC111123922,3,2,1,3,3,rna-XM_022466656.1,rna-XM_022466656.1,rna-XM_022466656.1,rna-XM_022466656.1
LOC111123923,1,1,1,1,1,rna-XM_022466643.1,rna-XM_022466643.1,rna-XM_022466643.1,rna-XM_022466643.1
LOC111123924,1,1,1,1,1,rna-XM_022466644.1,rna-XM_022466644.1,rna-XM_022466644.1,rna-XM_022466644.1
LOC111123925,1,1,1,1,1,rna-XM_022466645.1,rna-XM_022466645.1,rna-XM_022466645.1,rna-XM_022466645.1
LOC111123926,4,2,2,2,4,rna-XM_022466647.1,rna-XM_022466647.1,rna-XM_022466647.1,rna-XM_022466647.1
LOC111123927,1,1,1,1,1,rna-XM_022466651.1,rna-XM_022466651.1,rna-XM_022466651.1,rna-XM_022466651.1
LOC111123928,4,3,4,4,4,rna-XM_022466654.1,rna-XM_022466652.1,rna-XM_022466653.1,rna-XM_022466654.1
LOC111123929,1,1,1,1,1,rna-XM_022466657.1,rna-XM_022466657.1,rna-XM_022466657.1,rna-XM_022466657.1
LOC111123930,1,1,1,1,1,rna-XM_022466658.1,rna-XM_022466658.1,rna-XM_022466658.1,rna-XM_022466658.1
LOC111123931,1,1,1,1,1,rna-XM_022466659.1,rna-XM_022466659.1,rna-XM_022466659.1,rna-XM_022466659.1
LOC111123932,1,1,1,1,1,rna-XM_022466660.1,rna-XM_022466660.1,rna-XM_022466660.1,rna-XM_022466660.1
LOC111123933,1,1,1,1,1,rna-XM_022466661.1,rna-XM_022466661.1,rna-XM_022466661.1,rna-XM_022466661.1
LOC111123934,3,3,3,2,3,rna-XM_022466662.1,rna-XM_022466662.1,rna-XM_022466665.1,rna-XM_022466662.1
LOC111123935,2,1,1,1,2,rna-XM_022466666.1,rna-XM_022466667.1,rna-XM_022466666.1,rna-XM_022466667.1
LOC111123936,1,1,1,1,1,rna-XM_022466668.1,rna-XM_022466668.1,rna-XM_022466668.1,rna-XM_022466668.1
LOC111123937,1,1,1,1,1,rna-XR_002638130.1,rna-XR_002638130.1,rna-XR_002638130.1,rna-XR_002638130.1
LOC111123938,6,3,4,4,6,rna-XM_022466675.1,rna-XM_022466671.1,rna-XR_002638131.1,rna-XR_002638131.1
LOC111123939,1,1,1,1,1,rna-XM_022466676.1,rna-XM_022466676.1,rna-XM_022466676.1,rna-XM_022466676.1
LOC111123940,2,2,2,2,2,rna-XM_022466677.1,rna-XM_022466677.1,rna-XM_022466677.1,rna-XM_022466677.1
LOC111123941,1,1,1,1,1,rna-XM_022466679.1,rna-XM_022466679.1,rna-XM_022466679.1,rna-XM_022466679.1
LOC111123942,1,1,1,1,1,rna-XM_022466680.1,rna-XM_022466680.1,rna-XM_022466680.1,rna-XM_022466680.1
LOC111123943,2,3,1,2,3,rna-XM_022466684.1,rna-XM_022466684.1,rna-XM_022466684.1,rna-XM_022466684.1
LOC111123944,1,1,1,1,1,rna-XM_022466681.1,rna-XM_022466681.1,rna-XM_022466681.1,rna-XM_022466681.1
LOC111123945,0,1,0,1,1,rna-XM_022466682.1,rna-XM_022466682.1,rna-XM_022466682.1,rna-XM_022466682.1
LOC111123946,1,1,1,2,2,rna-XM_022466683.1,rna-XM_022466683.1,rna-XM_022466683.1,rna-XM_022466683.1
LOC111123947,2,2,2,2,2,rna-XM_022466687.1,rna-XM_022466687.1,rna-XM_022466688.1,rna-XM_022466687.1
LOC111123948,1,1,1,1,1,rna-XM_022466689.1,rna-XM_022466689.1,rna-XM_022466689.1,rna-XM_022466689.1
LOC111123949,1,1,1,1,1,rna-XM_022466690.1,rna-XM_022466690.1,rna-XM_022466690.1,rna-XM_022466690.1
LOC111123950,1,1,1,1,1,rna-XM_022466691.1,rna-XM_022466691.1,rna-XM_022466691.1,rna-XM_022466691.1
LOC111123951,1,1,1,1,1,rna-XM_022466694.1,rna-XM_022466694.1,rna-XM_022466694.1,rna-XM_022466694.1
LOC111123952,1,1,1,1,1,rna-XM_022466695.1,rna-XM_022466695.1,rna-XM_022466695.1,rna-XM_022466695.1
LOC111123953,1,1,1,1,1,gene-LOC111123953,gene-LOC111123953,gene-LOC111123953,gene-LOC111123953
LOC111123954,3,3,3,3,3,rna-XM_022466698.1,rna-XM_022466698.1,rna-XM_022466698.1,rna-XM_022466696.1
LOC111123955,4,4,4,4,4,rna-XM_022466699.1,rna-XM_022466699.1,rna-XM_022466699.1,rna-XM_022466700.1
LOC111123956,2,1,1,1,2,rna-XM_022466704.1,rna-XM_022466704.1,rna-XM_022466704.1,rna-XM_022466704.1
LOC111123957,1,1,1,1,1,rna-XM_022466754.1,rna-XM_022466754.1,rna-XM_022466754.1,rna-XM_022466754.1
LOC111123958,1,1,1,1,1,rna-XM_022466706.1,rna-XM_022466706.1,rna-XM_022466706.1,rna-XM_022466706.1
LOC111123959,1,1,1,1,1,rna-XM_022466707.1,rna-XM_022466707.1,rna-XM_022466707.1,rna-XM_022466707.1
LOC111123960,9,8,9,9,9,rna-XM_022466710.1,rna-XM_022466717.1,rna-XM_022466708.1,rna-XM_022466713.1
LOC111123961,2,2,2,2,2,rna-XM_022466715.1,rna-XM_022466715.1,rna-XM_022466724.1,rna-XM_022466724.1
LOC111123962,3,3,3,3,3,rna-XM_022466719.1,rna-XM_022466719.1,rna-XM_022466718.1,rna-XM_022466718.1
LOC111123963,1,1,1,1,1,rna-XM_022466721.1,rna-XM_022466721.1,rna-XM_022466721.1,rna-XM_022466721.1
LOC111123964,7,7,7,7,7,rna-XM_022466725.1,rna-XM_022466725.1,rna-XM_022466729.1,rna-XM_022466727.1
LOC111123965,3,3,3,3,3,rna-XM_022466730.1,rna-XM_022466730.1,rna-XM_022466730.1,rna-XM_022466730.1
LOC111123966,3,3,3,3,3,rna-XM_022466733.1,rna-XM_022466733.1,rna-XM_022466733.1,rna-XM_022466733.1
LOC111123967,1,1,1,0,1,rna-XM_022466738.1,rna-XM_022466748.1,rna-XM_022466738.1,rna-XM_022466738.1
LOC111123968,1,1,1,1,1,rna-XM_022466736.1,rna-XM_022466736.1,rna-XM_022466736.1,rna-XM_022466736.1
LOC111123969,1,1,1,1,1,rna-XM_022466737.1,rna-XM_022466737.1,rna-XM_022466737.1,rna-XM_022466737.1
LOC111123970,6,5,6,6,6,rna-XM_022466744.1,rna-XM_022466744.1,rna-XM_022466741.1,rna-XM_022466739.1
LOC111123971,3,3,3,2,3,rna-XM_022466745.1,rna-XM_022466745.1,rna-XM_022466745.1,rna-XM_022466745.1
LOC111123972,1,1,1,1,1,rna-XM_022466749.1,rna-XM_022466749.1,rna-XM_022466749.1,rna-XM_022466749.1
LOC111123973,3,3,3,2,3,rna-XM_022466751.1,rna-XM_022466751.1,rna-XM_022466750.1,rna-XM_022466750.1
LOC111123974,1,1,1,1,1,rna-XM_022466755.1,rna-XM_022466755.1,rna-XM_022466755.1,rna-XM_022466755.1
LOC111123975,1,1,1,1,1,rna-XM_022466756.1,rna-XM_022466756.1,rna-XM_022466756.1,rna-XM_022466756.1
LOC111123976,3,2,3,2,3,rna-XM_022466758.1,rna-XM_022466758.1,rna-XM_022466757.1,rna-XM_022466757.1
LOC111123977,1,1,0,1,1,rna-XM_022466763.1,rna-XM_022466763.1,rna-XM_022466763.1,rna-XM_022466763.1
LOC111123978,3,3,3,3,3,rna-XM_022466761.1,rna-XM_022466761.1,rna-XM_022466761.1,rna-XM_022466761.1
LOC111123979,6,7,7,6,7,rna-XM_022466772.1,rna-XM_022466772.1,rna-XM_022466770.1,rna-XM_022466766.1
LOC111123980,1,1,1,1,1,rna-XM_022466773.1,rna-XM_022466773.1,rna-XM_022466773.1,rna-XM_022466773.1
LOC111123981,1,1,1,1,1,rna-XM_022466776.1,rna-XM_022466776.1,rna-XM_022466776.1,rna-XM_022466776.1
LOC111123982,2,2,2,2,2,rna-XM_022466775.1,rna-XM_022466775.1,rna-XM_022466775.1,rna-XM_022466775.1
